"ASSET_SYMBOL","TRADE_DATE","OPEN_PRICE","HIGH_PRICE","LOW_PRICE","CLOSE_PRICE","RSI_14"
"HG=F",2026-02-23 00:00:00.000000000,5.88,5.88,5.75,5.77,31.6
"HG=F",2026-02-24 00:00:00.000000000,5.85,5.93,5.85,5.92,37.45
"HG=F",2026-02-25 00:00:00.000000000,5.97,5.98,5.97,5.98,39.55
"HG=F",2026-02-26 00:00:00.000000000,5.99,6,5.91,5.95,38.75
"HG=F",2026-02-27 00:00:00.000000000,5.96,6.08,5.96,6,41.03
"HG=F",2026-03-02 00:00:00.000000000,5.97,6.03,5.88,5.89,38.1
"HG=F",2026-03-03 00:00:00.000000000,5.91,5.94,5.72,5.77,35.13
"HG=F",2026-03-04 00:00:00.000000000,5.79,5.89,5.79,5.86,38.61
"HG=F",2026-03-05 00:00:00.000000000,5.85,5.85,5.73,5.75,36.01
"HG=F",2026-03-06 00:00:00.000000000,5.79,5.79,5.74,5.76,36.19
"HG=F",2026-03-09 00:00:00.000000000,5.72,5.85,5.63,5.8,38.24
"HG=F",2026-03-10 00:00:00.000000000,5.84,5.91,5.83,5.9,42.94
"HG=F",2026-03-11 00:00:00.000000000,5.89,5.89,5.79,5.85,41.04
"HG=F",2026-03-12 00:00:00.000000000,5.85,5.85,5.77,5.82,40.35
"HG=F",2026-03-13 00:00:00.000000000,5.73,5.79,5.63,5.71,36.85
"HG=F",2026-03-16 00:00:00.000000000,5.63,5.81,5.63,5.79,40.68
"HG=F",2026-03-17 00:00:00.000000000,5.74,5.75,5.7,5.73,38.56
"HG=F",2026-03-18 00:00:00.000000000,5.72,5.73,5.44,5.55,33.49
"HG=F",2026-03-19 00:00:00.000000000,5.48,5.48,5.29,5.43,30.47
"HG=F",2026-03-23 00:00:00.000000000,5.45,5.5,5.42,5.44,33.6
"HG=F",2026-03-24 00:00:00.000000000,5.49,5.54,5.36,5.51,37.14
"HG=F",2026-03-20 00:00:00.000000000,5.51,5.51,5.27,5.34,28.41
